#temps e^- Ar B C K L 
0.36000000000000015 0.7165094722520566 0.7536789778737718 0.22695623778756993 0.26568580646488665 0.017804721283056907 0.017804721283056907 
0.37000000000000016 0.7103318968831422 0.7495431676838937 0.2302765290006918 0.270637135631521 0.019030967485337058 0.019030967485337058 
0.38000000000000017 0.7042248217315061 0.7455225557488407 0.2334771136904586 0.27547777481186014 0.02029740345663385 0.02029740345663385 
0.3900000000000002 0.6981869597303708 0.7416147873290195 0.23656087934656633 0.2802095459953947 0.021603494274234608 0.021603494274234608 
0.4000000000000002 0.6922170560703799 0.7378175326424499 0.23953066599488454 0.28483426872021594 0.022948675209404423 0.022948675209404423 
0.4100000000000002 0.6863138873528969 0.7341284879693083 0.2423892658804097 0.289353758180974 0.02433235446612928 0.02433235446612928 
0.4200000000000002 0.6804762607612416 0.730545376662987 0.2451394232194964 0.2937698234545297 0.025753915784228937 0.025753915784228937 
0.4300000000000002 0.674703013249818 0.7270659500708982 0.2477838340187525 0.2980842658394511 0.02721272091073105 0.02721272091073105 
0.4400000000000002 0.6689930107510687 0.7236879883683123 0.2503251459579148 0.3022988773054608 0.028708111943470734 0.028708111943470734 
0.45000000000000023 0.6633451474001582 0.720409301308561 0.25276595833396864 0.30641543904890955 0.03023941355093245 0.03023941355093245 
0.46000000000000024 0.6577583447772735 0.7172277288929576 0.2551088220637435 0.3104357201503413 0.03180593507238529 0.03180593507238529 
0.47000000000000025 0.6522315511674038 0.7141411419637952 0.2573562397421935 0.31436147633021616 0.033406972502380214 0.033406972502380214 
0.48000000000000026 0.6467637408374454 0.7111474427237763 0.25951066575357207 0.31819444879887543 0.03504181036367936 0.03504181036367936 
0.49000000000000027 0.6413539133304609 0.7082445651852105 0.26157450643271524 0.32193636319686364 0.0367097234726756 0.0367097234726756 
0.5000000000000002 0.6360010927769049 0.705430475552285 0.26355012027366975 0.32558892862176037 0.03840997860133492 0.03840997860133492 
0.5100000000000002 0.6307043272226135 0.7027031725396696 0.2654398181829321 0.32915383673772863 0.04014183603965803 0.04014183603965803 
0.5200000000000002 0.6254626879733453 0.7000606876306752 0.2672458637746049 0.3326327609640448 0.041904551062610124 0.041904551062610124 
0.5300000000000002 0.6202752689556454 0.6975010852781167 0.2689704737048238 0.3360273557389427 0.04369737530541195 0.04369737530541195 
0.5400000000000003 0.6151411860937988 0.6950224630509776 0.27061581804286394 0.33933925585518093 0.04551955805102052 0.04551955805102052 
0.5500000000000003 0.6100595767026231 0.692622951729892 0.2721840206763958 0.3425700758638203 0.04737034743355674 0.04737034743355674 
0.5600000000000003 0.6050295988958536 0.6903007153543936 0.2736771597484252 0.3457214095427875 0.04924899156135905 0.04924899156135905 
0.5700000000000003 0.6000504310098527 0.6880539512247938 0.2750972681235246 0.3487948294268877 0.05115473956325978 0.05115473956325978 
0.5800000000000003 0.5951212710423828 0.6858808898614701 0.27644633388103523 0.35179188639602466 0.053086842561592684 0.053086842561592684 
0.5900000000000003 0.5902413361061678 0.6837797949242597 0.2777263008329981 0.3547141093184827 0.05504455457534959 0.05504455457534959 
0.6000000000000003 0.5854098618969684 0.6817489630945642 0.2789390690646492 0.3575630047462224 0.05702713335680938 0.05702713335680938 
0.6100000000000003 0.5806261021758908 0.6797867239226794 0.280086495495398 0.3603400566592433 0.05903384116486602 0.05903384116486602 
0.6200000000000003 0.5758893282656491 0.6778914396427731 0.2811703944582869 0.3630467262561671 0.06106394547818408 0.06106394547818408 
0.6300000000000003 0.5711988285604941 0.6760615049578445 0.2821925382960152 0.3656844517882959 0.06311671965121017 0.06311671965121017 
0.6400000000000003 0.5665539080495272 0.6742953467969017 0.2831546579716923 0.3682546484345043 0.06519144351596876 0.06519144351596876 
0.6500000000000004 0.5619538878531095 0.6725914240465057 0.2840584436925676 0.3707587082144211 0.06728740393246957 0.06728740393246957 
0.6600000000000004 0.5573981047720845 0.6709482272587356 0.2849055455450672 0.37319799993746183 0.06940389529045386 0.06940389529045386 
0.6700000000000004 0.552885910849525 0.6693642783375409 0.2856975741395492 0.3755738691853693 0.07154021996510593 0.07154021996510593 
0.6800000000000004 0.5484166729447233 0.667838130205356 0.28643610126326874 0.3778876383260194 0.07369568872925741 0.07369568872925741 
